date,card_en,card_zh,grading_company,grade,psa_grade,price_usd,price_twd,exchange_rate,source,source_platform,listed_price_usd,actual_price_usd,original_price_display,sale_type,owned,url,source_url,data_origin,reconciled_from,rate_basis
2026-06-18,Charizard,噴火龍,BGS,8.5,BGS 8.5,10547,340668,32.3,ALT,ALT,,10547,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-06-17,Mew,2006 傳說締造者 夢幻,PSA,9,PSA 9,250,8075,32.3,Fanatics,Fanatics,,250,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-06-17,Mew EX,2006 傳說締造者 夢幻EX,PSA,9,PSA 9,600,19380,32.3,eBay,eBay,,600,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-06-17,Pikachu (Jungle),2000叢林皮卡丘,PSA,8,PSA 8,64,2067,32.3,eBay,eBay,,64,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-06-16,Pikachu (Jungle),2000叢林皮卡丘,PSA,9,PSA 9,123,3973,32.3,eBay,eBay,,123,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-06-15,Machamp,怪力,PSA,8,PSA 8,400,12920,32.3,eBay,eBay via 130point,700,400,$400.00 USD,Best Offer Accepted,,https://ebay.com/itm/298417613143?nordt=true,https://ebay.com/itm/298417613143?nordt=true,combined_graded.xlsx,price_history.csv (2026-06-15),existing price_history.csv rate for date
2026-06-15,Machamp,怪力,PSA,7,PSA 7,300,9690,32.3,eBay,eBay via 130point,500,300,$300.00 USD,Best Offer Accepted,,https://ebay.com/itm/298417617392?nordt=true,https://ebay.com/itm/298417617392?nordt=true,combined_graded.xlsx,price_history.csv (2026-06-15),existing price_history.csv rate for date
2026-06-15,Machamp,怪力,PSA,6,PSA 6,200,6460,32.3,eBay,eBay,,200,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-06-14,Machamp,怪力,PSA,8,PSA 8,456,14729,32.3,eBay,eBay,,456,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-06-11,Alakazam,胡地,PSA,8,PSA 8,895,28908,32.3,eBay,eBay via 130point,895,895,$895.00 USD,Fixed Price,,https://ebay.com/itm/227312360483?nordt=true,https://ebay.com/itm/227312360483?nordt=true,combined_graded.xlsx,price_history.csv (2026-06-11),existing price_history.csv rate for date
2026-06-11,Pikachu (Jungle),2000叢林皮卡丘,PSA,9,PSA 9,121,3908,32.3,Fanatics,Fanatics,,121,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-06-09,Pikachu (Jungle),2000叢林皮卡丘,PSA,9,PSA 9,183,5911,32.3,eBay,eBay,,183,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-06-08,Blastoise,水箭龜,PSA,9,PSA 9,3150,101745,32.3,eBay,eBay,,3150,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-06-08,Venusaur,妙蛙花,PSA,9,PSA 9,2323,75033,32.3,eBay,eBay,,2323,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-06-07,Charizard,噴火龍,BGS,6.5,BGS 6.5,3350,108205,32.3,Fanatics,Fanatics,,3350,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-06-07,Mewtwo,超夢,PSA,9,PSA 9,2473,79878,32.3,eBay,eBay,,2473,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-06-07,Mewtwo,超夢,PSA,7,PSA 7,690,22287,32.3,Fanatics,Fanatics,690,690,$690,Auction,,https://www.fanaticscollect.com/weekly/eff2647a-5b95-11f1-bdf2-0a58a9feac02,https://www.fanaticscollect.com/weekly/eff2647a-5b95-11f1-bdf2-0a58a9feac02,combined_graded.xlsx,price_history.csv (2026-06-07),existing price_history.csv rate for date
2026-06-07,Zapdos,閃電鳥,PSA,9,PSA 9,1300,41990,32.3,eBay,eBay,,1300,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-06-07,Chansey,吉利蛋,PSA,8,PSA 8,648,20930,32.3,eBay,eBay,,648,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-06-07,Alakazam,胡地,PSA,8,PSA 8,493,15924,32.3,eBay,eBay,,493,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-06-07,Nidoking,尼多王,PSA,9,PSA 9,1364,44057,32.3,eBay,eBay,,1364,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-06-07,Machamp,怪力,PSA,8,PSA 8,451,14567,32.3,eBay,eBay,,451,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-06-07,Ninetales,九尾,PSA,9,PSA 9,1483,47901,32.3,eBay,eBay,,1483,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-06-07,Raichu,雷丘,PSA,9,PSA 9,2950,95285,32.3,eBay,eBay,,2950,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-06-07,Clefairy,皮皮,PSA,8,PSA 8,436,14083,32.3,eBay,eBay,,436,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-06-07,Magneton,三合一磁怪,PSA,9,PSA 9,1650,53295,32.3,eBay,eBay,,1650,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-06-07,Hitmonchan,快拳郎(艾比郎),PSA,8,PSA 8,353,11402,32.3,eBay,eBay,,353,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-06-07,Poliwrath,蚊香泳士(快泳蛙),PSA,9,PSA 9,919,29684,32.3,eBay,eBay,,919,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-06-06,Zapdos,閃電鳥,PSA,9,PSA 9,1107,35756,32.3,eBay,eBay,,1107,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-06-05,Squirtle,傑尼龜,PSA,9,PSA 9,114,3682,32.3,eBay,eBay,,114,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-06-04,Blastoise,水箭龜,PSA,8,PSA 8,1176,37985,32.3,社團,社團,,1176,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-06-01,Pikachu (Jungle),2000叢林皮卡丘,PSA,8,PSA 8,80,2584,32.3,eBay,eBay,,80,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-05-31,Charizard,噴火龍,PSA,8,PSA 8,9600,310080,32.3,Fanatics,Fanatics,9600,9600,"$9,600",Auction,Auction,https://www.fanaticscollect.com/weekly/c46a1278-586e-11f1-b371-0a58a9feac02,https://www.fanaticscollect.com/weekly/c46a1278-586e-11f1-b371-0a58a9feac02,combined_graded.xlsx,price_history.csv (2026-05-31),existing price_history.csv rate for date
2026-05-31,Blastoise,水箭龜,PSA,8,PSA 8,1290,41667,32.3,Fanatics,Fanatics,1290,1290,"$1,290",Auction,Auction,https://www.fanaticscollect.com/weekly/bd9477a4-586e-11f1-8623-0a58a9feac02,https://www.fanaticscollect.com/weekly/bd9477a4-586e-11f1-8623-0a58a9feac02,combined_graded.xlsx,price_history.csv (2026-05-31),existing price_history.csv rate for date
2026-05-31,Blastoise,水箭龜,PSA,8,PSA 8,1320,42636,32.3,Fanatics,Fanatics,1320,1320,"$1,320",Auction,Auction,https://www.fanaticscollect.com/weekly/a5cdc944-4645-11f1-b9b7-0a58a9feac02,https://www.fanaticscollect.com/weekly/a5cdc944-4645-11f1-b9b7-0a58a9feac02,combined_graded.xlsx,price_history.csv (2026-05-31),existing price_history.csv rate for date
